Target,Train R2,Train MAE,Test R2,Test MAE
Formation Energy,0.9634460180939349,0.039042800210975864,0.9360540494118459,0.056594541080850214
d_band_center,0.9702135736684079,0.20162911598439626,0.9430633406377432,0.280082291911918
d_band_width,0.9475480735981079,0.11155392790353426,0.8905059406106807,0.14879577416033785
d_band_filling,0.8076379580385602,22.151917061070815,0.5668341000190569,39.39776139219931
DOS_EF,0.8033515233640782,2.950363958307866,0.3401641080979414,5.030330948839503
DOS_window_-0.3_0.3,0.8934948109059738,1.4815171343344513,0.4729874105742887,2.7759636551880638
unoccupied_d_states_0_0.5,0.9552455387493781,1.4502207444827189,0.5986858104306254,2.9746363949923476
epsilon_d_minus_EF,0.9683692977770879,0.21112188062773296,0.9428609483850501,0.2833542476623696
sp_d_hybridization,0.0,3.196103185080913e-08,0.0,3.437522655035486e-08
orbital_ratio_d,0.0,1.4100023495253697e-08,0.0,2.0196615171826574e-08
valence_DOS_slope,0.6971396075686047,4.703788282157767,0.19602532122646255,6.49101513733487
num_DOS_peaks,0.7777654413365176,3.66951323922817,0.5477098794375138,6.105579257996614
first_peak_position,0.642236621351441,0.13694913861905908,0.19237978423736923,0.17495333674279126
"Delta_G_H (n_train=30, n_test=3)",-0.10503263437959598,0.4703504158183932,0.20791521270321933,0.5423667182524999
